경상북도 -> 인천광역시 : 3064번
경상북도 -> 경상북도 : 196062번
강원도 -> 경상북도 : 2738번
대구광역시 -> 충청북도 : 1916번
경상남도 -> 부산광역시 : 39222번
강원도 -> 인천광역시 : 3854번
울산광역시 -> 대전광역시 : 716번
대구광역시 -> 세종특별자치시 : 622번
충청북도 -> 인천광역시 : 2889번
충청남도 -> 세종특별자치시 : 4391번
경상북도 -> 세종특별자치시 : 810번
경기도 -> 부산광역시 : 9790번
대구광역시 -> 강원도 : 1514번
경기도 -> 대구광역시 : 7093번
부산광역시 -> 전라북도 : 1238번
전라북도 -> 부산광역시 : 1136번
세종특별자치시 -> 경상남도 : 449번
대전광역시 -> 충청남도 : 12509번
대전광역시 -> 울산광역시 : 527번
제주특별자치도 -> 충청남도 : 894번
서울특별시 -> 울산광역시 : 3600번
경상남도 -> 경상남도 : 255443번
충청남도 -> 서울특별시 : 16964번
경기도 -> 경상북도 : 14109번
전라남도 -> 전라북도 : 4502번
전라북도 -> 대구광역시 : 699번
대구광역시 -> 울산광역시 : 2460번
제주특별자치도 -> 대구광역시 : 918번
부산광역시 -> 울산광역시 : 7878번
세종특별자치시 -> 울산광역시 : 142번
울산광역시 -> 인천광역시 : 866번
경기도 -> 서울특별시 : 182995번
경상남도 -> 경기도 : 16059번
경상남도 -> 충청북도 : 2191번
경기도 -> 세종특별자치시 : 4416번
충청북도 -> 강원도 : 3706번
전라북도 -> 전라북도 : 154519번
경상북도 -> 경상남도 : 7046번
대구광역시 -> 충청남도 : 2145번
광주광역시 -> 세종특별자치시 : 577번
전라북도 -> 충청남도 : 5109번
서울특별시 -> 충청북도 : 11239번
경상북도 -> 경기도 : 18295번
전라북도 -> 서울특별시 : 12449번
제주특별자치도 -> 서울특별시 : 7272번
서울특별시 -> 세종특별자치시 : 4283번
광주광역시 -> 인천광역시 : 1679번
인천광역시 -> 부산광역시 : 1793번
경상남도 -> 대구광역시 : 6834번
서울특별시 -> 전라북도 : 10200번
경상남도 -> 세종특별자치시 : 732번
부산광역시 -> 경기도 : 14358번
광주광역시 -> 서울특별시 : 9368번
대전광역시 -> 충청북도 : 7120번
세종특별자치시 -> 경상북도 : 545번
부산광역시 -> 충청남도 : 2627번
부산광역시 -> 부산광역시 : 292439번
인천광역시 -> 울산광역시 : 713번
전라남도 -> 전라남도 : 147530번
광주광역시 -> 충청남도 : 1624번
전라남도 -> 울산광역시 : 695번
충청남도 -> 경상북도 : 2818번
광주광역시 -> 강원도 : 683번
대전광역시 -> 전라북도 : 3154번
부산광역시 -> 전라남도 : 2678번
광주광역시 -> 전라남도 : 25773번
부산광역시 -> 광주광역시 : 972번
제주특별자치도 -> 세종특별자치시 : 261번
제주특별자치도 -> 강원도 : 664번
서울특별시 -> 대구광역시 : 7274번
경상남도 -> 인천광역시 : 2792번
경상남도 -> 전라북도 : 1833번
충청북도 -> 전라남도 : 1052번
광주광역시 -> 광주광역시 : 124594번
부산광역시 -> 충청북도 : 1746번
경기도 -> 울산광역시 : 3329번
광주광역시 -> 부산광역시 : 992번
대전광역시 -> 인천광역시 : 2084번
